hdi_rank,Country,Human_Development_Index  ,Life_expectancy_at_birth_y,Expected_years_of_schooling_y,Mean_years_of_schooling_y,GNI_per_capita_2017PPP_dolar,GNI_per_capita_rank minus_HDI_rank,hdi_rank_2021,hdi_category
1,Switzerland,0.967,84.3,16.6,13.9,69433,6,1,Very high
2,Norway,0.966,83.4,18.6,13.1,69190,6,2,Very high
3,Iceland,0.959,82.8,19.1,13.8,54688,16,4,Very high
4,"Hong Kong, China (SAR)",0.956,84.3,17.8,12.3,62486,6,3,Very high
5,Denmark,0.952,81.9,18.8,13,62019,6,8,Very high
5,Sweden,0.952,83.5,19,12.7,56996,10,5,Very high
7,Germany,0.95,81,17.3,14.3,55340,11,7,Very high
7,Ireland,0.95,82.7,19.1,11.7,87468,-3,9,Very high
9,Singapore,0.949,84.1,16.9,11.9,88761,-6,10,Very high
10,Australia,0.946,83.6,21.1,12.7,49257,14,5,Very high
10,The Netherlands,0.946,82.5,18.6,12.6,57278,4,11,Very high
12,Belgium,0.942,82.3,18.9,12.5,53644,9,13,Very high
12,Finland,0.942,82.4,19.2,12.9,49522,11,11,Very high
12,Liechtenstein,0.942,84.7,15.5,12.4,146673,-11,14,Very high
15,United Kingdom,0.94,82.2,17.6,13.4,46624,13,17,Very high
16,New Zealand,0.939,83,19.7,12.9,43665,16,14,Very high
17,United Arab Emirates,0.937,79.2,17.2,12.8,74104,-11,17,Very high
18,Canada,0.935,82.8,16,13.9,48444,8,16,Very high
19,"Korea, Republic of",0.929,84,16.5,12.6,46026,10,20,Very high
20,Luxembourg,0.927,82.6,14.2,13,78554,-15,19,Very high
20,United States of America,0.927,78.2,16.4,13.6,65565,-11,21,Very high
22,Austria,0.926,82.4,16.4,12.3,56530,-5,22,Very high
22,Slovenia,0.926,82.1,17.4,12.9,41587,13,24,Very high
24,Japan,0.92,84.8,15.5,12.7,43644,9,22,Very high
25,Israel,0.915,82.6,15,13.4,43588,9,26,Very high
25,Malta,0.915,83.7,15.9,12.2,44464,5,25,Very high
27,Spain,0.911,83.9,17.8,10.6,40043,10,28,Very high
28,France (metropolitan),0.91,83.2,16,11.7,47379,-1,27,Very high
29,Cyprus,0.907,81.9,16.2,12.4,40137,7,29,Very high
30,Italy,0.906,84.1,16.7,10.7,44284,1,30,Very high
31,Estonia,0.899,79.2,15.9,13.5,37152,9,32,Very high
32,Czechia,0.895,78.1,16.3,12.9,39945,6,31,Very high
33,Greece,0.893,80.6,20,11.4,31382,20,33,Very high
34,Bahrain,0.888,79.2,16.3,11,48731,-9,34,Very high
35,Andorra,0.884,83.6,12.8,11.6,54233,-15,43,Very high
36,Poland,0.881,77,15.9,13.2,35151,7,35,Very high
37,Latvia,0.879,75.9,16.6,13.3,32083,13,39,Very high
37,Lithuania,0.879,74.3,16.4,13.5,38131,2,36,Very high
39,Croatia,0.878,79.2,15.6,12.3,34324,5,37,Very high
40,Qatar,0.875,81.6,13.3,10.1,95944,-38,41,Very high
40,Saudi Arabia,0.875,77.9,15.2,11.3,50620,-18,37,Very high
42,Portugal,0.874,82.2,16.8,9.6,35315,0,39,Very high
43,San Marino,0.867,83.4,12.4,10.5,57687,-30,44,Very high
44,Chile,0.86,79.5,16.8,11.1,24431,15,42,Very high
45,Slovakia,0.855,75.3,14.7,13,32171,4,45,Very high
45,Türkiye,0.855,78.5,19.7,8.8,32834,2,48,Very high
47,Hungary,0.851,75,15.1,12.2,34196,-2,46,Very high
48,Argentina,0.849,76.1,19,11.1,22048,17,47,Very high
49,Kuwait,0.847,80.3,15.7,7.4,56729,-33,50,Very high
50,Montenegro,0.844,76.8,15.1,12.6,22513,12,49,Very high
51,Saint Kitts and Nevis,0.838,72,18.4,10.8,28442,3,51,Very high
52,Uruguay,0.83,78,17.4,9.1,22207,12,56,Very high
53,Romania,0.827,74.1,14.5,11.4,31641,-1,52,Very high
54,Antigua and Barbuda,0.826,79.2,15.5,10.5,18784,18,54,Very high
55,Brunei Darussalam,0.823,74.6,13.7,9.2,59246,-43,53,Very high
56,Russian Federation,0.821,70.1,15.7,12.4,26992,1,55,Very high
57,Bahamas,0.82,74.4,11.9,12.7,32535,-9,67,Very high
57,Panama,0.82,76.8,13.2,10.7,32029,-6,57,Very high
59,Oman,0.819,73.9,13,11.9,32967,-13,58,Very high
60,Georgia,0.814,71.6,16.7,12.7,15952,19,59,Very high
60,Trinidad and Tobago,0.814,74.7,14.1,11.7,22473,3,60,Very high
62,Barbados,0.809,77.7,16.5,9.9,14810,24,63,Very high
63,Malaysia,0.807,76.3,12.9,10.7,27295,-7,68,Very high
64,Costa Rica,0.806,77.3,16.1,8.8,20248,2,60,Very high
65,Serbia,0.805,74.1,14.5,11.5,19494,3,60,Very high
66,Thailand,0.803,79.7,15.6,8.8,16887,10,69,Very high
67,Kazakhstan,0.802,69.5,14.8,12.4,22587,-6,65,Very high
67,Seychelles,0.802,71.7,13.9,11.2,28386,-12,71,Very high
69,Belarus,0.801,73.2,14,12.2,18425,5,65,Very high
70,Bulgaria,0.799,71.5,13.9,11.4,25921,-12,70,High
71,Palau,0.797,65.4,17.2,13,19344,-2,64,High
72,Mauritius,0.796,74,14.6,10,23252,-12,72,High
73,Grenada,0.793,75.3,16.6,9.9,13593,18,73,High
74,Albania,0.789,76.8,14.5,10.1,15293,7,74,High
75,China,0.788,78.6,15.2,8.1,18025,0,74,High
76,Armenia,0.786,73.4,14.4,11.3,15388,4,79,High
77,Mexico,0.781,74.8,14.5,9.2,19138,-7,83,High
78,"Iran, Islamic Republic of",0.78,74.6,14.1,10.7,14770,10,77,High
78,Sri Lanka,0.78,76.6,13.6,11.2,11899,24,76,High
80,Bosnia Herzegovina,0.779,75.3,13.3,10.5,16571,-3,77,High
81,Saint Vincent and the Grenadines,0.772,69,16.3,11,14049,9,80,High
82,Dominican Republic,0.766,74.2,13.6,9.2,18653,-9,84,High
83,Ecuador,0.765,77.9,14.9,9,10693,25,90,High
83,North Macedonia,0.765,73.9,13,10.2,16396,-5,82,High
85,Cuba,0.764,78.2,14.5,10.5,7953,40,92,High
86,Moldova,0.763,68.6,14.9,11.8,12964,8,81,High
87,Maldives,0.762,80.8,12.2,7.8,18847,-16,88,High
87,Peru,0.762,73.4,14.8,10,11916,14,86,High
89,Azerbaijan,0.76,73.5,12.7,10.6,15018,-7,95,High
89,Brazil,0.76,73.4,15.6,8.3,14616,0,84,High
91,Colombia,0.758,73.7,14.4,8.9,15014,-8,89,High
92,Libya,0.746,72.2,14,7.8,19752,-25,90,High
93,Algeria,0.745,77.1,15.5,7,10978,13,93,High
94,Turkmenistan,0.744,69.4,13.2,11.1,12860,1,93,High
95,Guyana,0.742,66,13,8.6,35783,-54,105,High
96,Mongolia,0.741,72.7,14.5,9.4,10351,15,99,High
97,Dominica,0.74,73,13.6,9.2,12468,-1,97,High
98,Tonga,0.739,71.3,16.3,10.9,6360,34,95,High
99,Jordan,0.736,74.2,12.6,10.4,9295,15,98,High
100,Ukraine,0.734,68.6,13.3,11.1,11416,3,86,High
101,Tunisia,0.732,74.3,14.6,8,10297,11,101,High
102,Marshall Islands,0.731,65.1,16.4,12.8,6855,28,101,High
102,Paraguay,0.731,70.5,13.9,8.9,13161,-9,99,High
104,Fiji,0.729,68.3,13.8,10.4,11234,0,110,High
105,Egypt,0.728,70.2,12.9,9.8,12361,-8,103,High
106,Uzbekistan,0.727,71.7,12,11.9,8056,16,105,High
107,Viet Nam,0.726,74.6,13.1,8.5,10814,0,108,High
108,Saint Lucia,0.725,71.3,12.7,8.6,14778,-21,109,High
109,Lebanon,0.723,74.4,12.1,8.6,12313,-11,104,High
110,South Africa,0.717,61.5,14.3,11.6,13186,-18,105,High
111,"Palestine, State of",0.716,73.4,13.2,9.9,6936,18,110,High
112,Indonesia,0.713,68.3,14,8.6,12046,-12,113,High
113,Philippines,0.71,72.2,12.8,9,9059,5,118,High
114,Botswana,0.708,65.9,11.4,10.4,14842,-29,124,High
115,Jamaica,0.706,70.6,12.5,9.2,9695,-2,114,High
116,Samoa,0.702,72.6,12.4,11.4,4970,25,112,High
117,Kyrgyzstan,0.701,70.5,13,12,4782,28,116,High
118,Belize,0.7,71,12.4,8.8,9242,-3,115,High
119,Venezuela,0.699,71.1,13.5,9.6,6184,14,120,Medium
120,Bolivia,0.698,64.9,15,9.8,7988,3,119,Medium
120,Morocco,0.698,75,14.6,6.1,7955,4,122,Medium
122,Nauru,0.696,64,12.6,9.2,14939,-38,117,Medium
123,Gabon,0.693,65.7,12.4,9.6,11194,-18,123,Medium
124,Suriname,0.69,70.3,11,8.4,12310,-25,121,Medium
125,Bhutan,0.681,72.2,13.1,5.8,10625,-15,125,Medium
126,Tajikistan,0.679,71.3,10.9,11.3,4807,18,125,Medium
127,El Salvador,0.674,71.5,11.9,7.2,8886,-7,127,Medium
128,Iraq,0.673,71.3,12.2,6.8,9092,-11,128,Medium
129,Bangladesh,0.67,73.7,11.9,7.4,6511,2,130,Medium
130,Nicaragua,0.669,74.6,12.6,7.3,5427,4,129,Medium
131,Cape Verde,0.661,74.7,11.5,6.1,7601,-4,132,Medium
132,Tuvalu,0.653,64.9,12.1,10.6,4754,15,131,Medium
133,Equatorial Guinea,0.65,61.2,12.1,8.3,10663,-24,133,Medium
134,India,0.644,67.7,12.6,6.6,6951,-6,135,Medium
135,Micronesia (Federated States of),0.634,70.9,12.6,7.3,3709,18,134,Medium
136,Guatemala,0.629,68.7,10.8,5.7,8996,-17,136,Medium
137,Kiribati,0.628,67.7,11.8,9.1,3440,21,137,Medium
138,Honduras,0.624,70.7,10,7.3,5272,2,138,Medium
139,Lao People's Democratic Republic,0.62,69,10.2,5.9,7745,-13,140,Medium
140,Vanuatu,0.614,70.5,11.8,7.2,3244,21,141,Medium
141,Sao Tome and Principe,0.613,68.8,12.7,5.9,4054,8,143,Medium
142,Eswatini,0.61,56.4,14.9,5.7,8392,-21,142,Medium
142,Namibia,0.61,58.1,11.8,7.2,9200,-26,139,Medium
144,Myanmar,0.608,67.3,12.1,6.5,4038,6,145,Medium
145,Ghana,0.602,63.9,11.6,6.4,5380,-10,144,Medium
146,Kenya,0.601,62.1,11.4,7.7,4808,-3,147,Medium
146,Nepal,0.601,70.5,12.6,4.5,4026,5,149,Medium
148,Cambodia,0.6,69.9,11.6,5.2,4291,0,147,Medium
149,"Congo, Republic of",0.593,63.1,12.4,8.3,2903,14,146,Medium
150,Angola,0.591,61.9,12.2,5.8,5328,-11,150,Medium
151,Cameroon,0.587,61,13.4,6.5,3681,3,152,Medium
152,Comoros,0.586,63.7,13,6.2,3261,8,151,Medium
153,Zambia,0.569,61.8,11,7.3,3157,9,154,Medium
154,Papua New Guinea,0.568,66,11.1,4.9,3710,-2,155,Medium
155,Timor-Leste,0.566,69.1,13.2,6,1629,24,153,Medium
156,Solomon Islands,0.562,70.7,10.3,5.9,2273,14,155,Medium
157,Syrian Arab Republic,0.557,72.3,7.4,5.7,3594,-2,157,Medium
158,Haiti,0.552,63.7,11.1,5.6,2802,6,158,Medium
159,Uganda,0.55,63.6,11.5,6.2,2241,12,160,Medium
159,Zimbabwe,0.55,59.4,11,8.8,2079,15,159,Medium
161,Nigeria,0.548,53.6,10.5,7.6,4755,-15,162,Low
161,Rwanda,0.548,67.1,11.4,4.9,2317,8,163,Low
163,Togo,0.547,61.6,13,5.6,2214,9,160,Low
164,Mauritania,0.54,64.7,8.1,4.8,5344,-26,164,Low
164,Pakistan,0.54,66.4,7.9,4.4,5374,-27,165,Low
166,Côte d'Ivoire,0.534,58.9,10.1,4.2,5376,-30,166,Low
167,"Tanzania, United Republic of",0.532,66.8,8.6,5.6,2578,-1,167,Low
168,Lesotho,0.521,53,11.1,7.5,2709,-3,168,Low
169,Senegal,0.517,67.9,9.1,2.9,3464,-12,170,Low
170,Sudan,0.516,65.6,8.5,3.9,3515,-14,169,Low
171,Djibouti,0.515,62.9,8,3.9,4875,-29,170,Low
172,Malawi,0.508,62.9,11.5,5.2,1432,10,172,Low
173,Benin,0.504,60,10.3,3.1,3406,-14,173,Low
174,The Republic of the Gambia,0.495,62.9,9,4.5,2090,-1,174,Low
175,Eritrea,0.493,66.6,7.3,5.1,1957,2,174,Low
176,Ethiopia,0.492,65.6,9.9,2.4,2369,-8,176,Low
177,Liberia,0.487,61.1,10.5,5.3,1330,8,177,Low
177,Madagascar,0.487,65.2,9.2,4.6,1464,4,177,Low
179,Guinea-Bissau,0.483,59.9,10.5,3.7,1880,-1,179,Low
180,"Congo, Democratic People Republic of",0.481,59.7,9.6,7.2,1080,9,180,Low
181,Guinea,0.471,59,10.2,2.4,2404,-14,182,Low
182,Afghanistan,0.462,62.9,10.7,2.5,1335,2,181,Low
183,Mozambique,0.461,59.6,10.7,3.9,1219,4,183,Low
184,Sierra Leone,0.458,60.4,9,3.5,1613,-4,184,Low
185,Burkina Faso,0.438,59.8,8.1,2.3,2037,-9,185,Low
186,Yemen,0.424,63.7,7.9,2.8,1106,2,186,Low
187,Burundi,0.42,62,10,3.3,712,5,187,Low
188,Mali,0.41,59.4,7,1.6,2044,-13,188,Low
189,Chad,0.394,53,8.2,2.3,1389,-6,189,Low
189,Niger,0.394,62.1,7.2,1.3,1283,-3,190,Low
191,Central African Republic,0.387,54.5,7.3,4,869,0,191,Low
192,South Sudan,0.381,55.6,5.6,5.7,691,1,192,Low
193,Somalia,0.38,56.1,7.6,1.9,1072,-3,,Low
no_rank,Arab States,0.704,71.3,11.9,7.8,14391,,,
no_rank,East Asia and the Pacific,0.766,76.2,14.5,8.2,16138,,,
no_rank,Europe and Central Asia,0.802,73.6,15.5,10.6,19763,,,
no_rank,Latin America and the Caribbean,0.763,73.7,14.8,9,15109,,,
no_rank,South Asia,0.641,68.4,11.9,6.6,6972,,,
no_rank,Sub-Saharan Africa,0.549,60.6,10.3,6,3666,,,
no_rank,Total,0.739,72,13,8.7,17254,,,
